sigma_C sigma_C_100
57.669454 67.567568
57.846583 67.667668
58.023559 67.767768
58.200378 67.867868
58.377041 67.967968
58.553546 68.068068
58.729891 68.168168
58.906074 68.268268
59.082094 68.368368
59.257950 68.468468
59.433639 68.568569
59.609161 68.668669
59.784514 68.768769
59.959696 68.868869
60.134705 68.968969
60.309540 69.069069
60.484200 69.169169
60.658683 69.269269
60.832986 69.369369
61.007110 69.469469
61.181051 69.569570
61.354809 69.669670
61.528381 69.769770
61.701767 69.869870
61.874964 69.969970
62.047971 70.070070
62.220787 70.170170
62.393409 70.270270
62.565835 70.370370
62.738065 70.470470
62.910097 70.570571
63.081928 70.670671
63.253558 70.770771
63.424984 70.870871
63.596205 70.970971
63.767220 71.071071
63.938025 71.171171
64.108621 71.271271
64.279004 71.371371
64.449174 71.471471
64.619128 71.571572
64.788865 71.671672
64.958383 71.771772
65.127680 71.871872
65.296755 71.971972
65.465606 72.072072
65.634230 72.172172
65.802627 72.272272
65.970794 72.372372
66.138730 72.472472
66.306433 72.572573
66.473901 72.672673
66.641132 72.772773
66.808124 72.872873
66.974876 72.972973
67.141385 73.073073
67.307650 73.173173
67.473670 73.273273
67.639441 73.373373
67.804962 73.473473
67.970232 73.573574
68.135249 73.673674
68.300010 73.773774
68.464513 73.873874
68.628758 73.973974
68.792741 74.074074
68.956461 74.174174
69.119916 74.274274
69.283103 74.374374
69.446022 74.474474
69.608670 74.574575
69.771045 74.674675
69.933145 74.774775
70.094969 74.874875
70.256513 74.974975
70.417776 75.075075
70.578757 75.175175
70.739452 75.275275
70.899861 75.375375
71.059980 75.475475
71.219808 75.575576
71.379343 75.675676
71.538583 75.775776
71.697525 75.875876
71.856168 75.975976
72.014509 76.076076
72.172547 76.176176
72.330278 76.276276
72.487702 76.376376
72.644815 76.476476
72.801616 76.576577
72.958103 76.676677
73.114273 76.776777
73.270124 76.876877
73.425654 76.976977
73.580860 77.077077
73.735741 77.177177
73.890295 77.277277
74.044518 77.377377
74.198409 77.477477
74.351965 77.577578
74.505184 77.677678
74.658065 77.777778
74.810603 77.877878
74.962798 77.977978
75.114647 78.078078
75.266147 78.178178
75.417297 78.278278
75.568093 78.378378
75.718533 78.478478
75.868616 78.578579
76.018338 78.678679
76.167697 78.778779
76.316691 78.878879
76.465317 78.978979
76.613573 79.079079
76.761456 79.179179
76.908964 79.279279
77.056094 79.379379
77.202844 79.479479
77.349211 79.579580
77.495193 79.679680
77.640787 79.779780
77.785991 79.879880
77.930801 79.979980
78.075216 80.080080
78.219233 80.180180
78.362848 80.280280
78.506060 80.380380
78.648866 80.480480
78.791263 80.580581
78.933248 80.680681
79.074819 80.780781
79.215973 80.880881
79.356707 80.980981
79.497019 81.081081
79.636905 81.181181
79.776363 81.281281
79.915390 81.381381
80.053983 81.481481
80.192140 81.581582
80.329857 81.681682
80.467132 81.781782
80.603962 81.881882
80.740343 81.981982
80.876274 82.082082
81.011750 82.182182
81.146770 82.282282
81.281329 82.382382
81.415426 82.482482
81.549056 82.582583
81.682218 82.682683
81.814907 82.782783
81.947121 82.882883
82.078857 82.982983
82.210112 83.083083
82.340882 83.183183
82.471165 83.283283
82.600956 83.383383
82.730254 83.483483
82.859055 83.583584
82.987355 83.683684
83.115151 83.783784
83.242440 83.883884
83.369220 83.983984
83.495485 84.084084
83.621234 84.184184
83.746462 84.284284
83.871167 84.384384
83.995345 84.484484
84.118992 84.584585
84.242106 84.684685
84.364682 84.784785
84.486717 84.884885
84.608208 84.984985
84.729151 85.085085
84.849542 85.185185
84.969379 85.285285
85.088657 85.385385
85.207372 85.485485
85.325522 85.585586
85.443102 85.685686
85.560109 85.785786
85.676539 85.885886
85.792388 85.985986
85.907652 86.086086
86.022329 86.186186
86.136413 86.286286
86.249901 86.386386
86.362789 86.486486
86.475073 86.586587
86.586750 86.686687
86.697815 86.786787
86.808264 86.886887
86.918094 86.986987
87.027300 87.087087
87.135878 87.187187
87.243825 87.287287
87.351135 87.387387
87.457806 87.487487
87.563832 87.587588
87.669209 87.687688
87.773934 87.787788
87.878001 87.887888
87.981408 87.987988
88.084148 88.088088
88.186219 88.188188
88.287615 88.288288
88.388333 88.388388
88.488488 88.488488
88.588589 88.588589
88.688689 88.688689
88.788789 88.788789
88.888889 88.888889
88.988989 88.988989
89.089089 89.089089
89.189189 89.189189
89.289289 89.289289
89.389389 89.389389
89.489489 89.489489
89.589590 89.589590
89.689690 89.689690
89.789790 89.789790
89.889890 89.889890
89.989990 89.989990
90.090090 90.090090
90.190190 90.190190
90.290290 90.290290
90.390390 90.390390
90.490490 90.490490
90.590591 90.590591
90.690691 90.690691
90.790791 90.790791
90.890891 90.890891
90.990991 90.990991
91.091091 91.091091
91.191191 91.191191
91.291291 91.291291
91.391391 91.391391
91.491491 91.491491
91.591592 91.591592
91.691692 91.691692
91.791792 91.791792
91.891892 91.891892
91.991992 91.991992
92.092092 92.092092
92.192192 92.192192
92.292292 92.292292
92.392392 92.392392
92.492492 92.492492
92.592593 92.592593
92.692693 92.692693
92.792793 92.792793
92.892893 92.892893
92.992993 92.992993
93.093093 93.093093
93.193193 93.193193
93.293293 93.293293
93.393393 93.393393
93.493493 93.493493
93.593594 93.593594
93.693694 93.693694
93.793794 93.793794
93.893894 93.893894
93.993994 93.993994
94.094094 94.094094
94.194194 94.194194
94.294294 94.294294
94.394394 94.394394
94.494494 94.494494
94.594595 94.594595
94.694695 94.694695
94.794795 94.794795
94.894895 94.894895
94.994995 94.994995
95.095095 95.095095
95.195195 95.195195
95.295295 95.295295
95.395395 95.395395
95.495495 95.495495
95.595596 95.595596
95.695696 95.695696
95.795796 95.795796
95.895896 95.895896
95.995996 95.995996
96.096096 96.096096
96.196196 96.196196
96.296296 96.296296
96.396396 96.396396
96.496496 96.496496
96.596597 96.596597
96.696697 96.696697
96.796797 96.796797
96.896897 96.896897
96.996997 96.996997
97.097097 97.097097
97.197197 97.197197
97.297297 97.297297
97.397397 97.397397
97.497497 97.497497
97.597598 97.597598
97.697698 97.697698
97.797798 97.797798
97.897898 97.897898
97.997998 97.997998
98.098098 98.098098
98.198198 98.198198
98.298298 98.298298
98.398398 98.398398
98.498498 98.498498
98.598599 98.598599
98.698699 98.698699
98.798799 98.798799
98.898899 98.898899
98.998999 98.998999
99.099099 99.099099
99.199199 99.199199
99.299299 99.299299
99.399399 99.399399
99.499499 99.499499
99.599600 99.599600
99.699700 99.699700
99.799800 99.799800
99.899900 99.899900
100.000000 100.000000
